Date,Clicks,Impressions,CTR,Position
2025-01-16,40,9141,0.44%,43.7
2025-01-17,56,10251,0.55%,45.9
2025-01-18,165,10761,1.53%,39.8
2025-01-19,132,12293,1.07%,42.5
2025-01-20,134,13258,1.01%,42.8
2025-01-21,133,10894,1.22%,42.5
2025-01-22,53,8595,0.62%,46
2025-01-23,43,8354,0.51%,46.2
2025-01-24,32,9621,0.33%,47
2025-01-25,24,11869,0.2%,47.2
2025-01-26,37,10152,0.36%,48
2025-01-27,39,12263,0.32%,45.9
2025-01-28,39,12123,0.32%,46
2025-01-29,44,13564,0.32%,46.3
2025-01-30,37,12487,0.3%,46.9
2025-01-31,28,12621,0.22%,47.5
2025-02-01,25,13957,0.18%,47.1
2025-02-02,29,14566,0.2%,47.7
2025-02-03,42,14422,0.29%,47.2
2025-02-04,42,13936,0.3%,47.9
2025-02-05,41,18773,0.22%,56.6
2025-02-06,48,17935,0.27%,56.7
2025-02-07,35,13942,0.25%,50.4
2025-02-08,20,14275,0.14%,48.6
2025-02-09,22,12866,0.17%,49.2
2025-02-10,37,13234,0.28%,47.7
2025-02-11,65,11838,0.55%,47.8
2025-02-12,34,11116,0.31%,48.6
2025-02-13,31,10740,0.29%,48.5
2025-02-14,27,11420,0.24%,49.1
2025-02-15,23,13114,0.18%,48.8
2025-02-16,33,11657,0.28%,49.3
2025-02-17,91,15417,0.59%,46.8
2025-02-18,108,13763,0.78%,44.6
2025-02-19,67,13741,0.49%,45.9
2025-02-20,58,13440,0.43%,47.3
2025-02-21,35,11575,0.3%,48.8
2025-02-22,24,14241,0.17%,48.5
2025-02-23,23,12522,0.18%,49
2025-02-24,40,12995,0.31%,48.2
2025-02-25,46,12271,0.37%,48.2
2025-02-26,36,14441,0.25%,47.8
2025-02-27,27,15400,0.18%,48.4
2025-02-28,32,13868,0.23%,48.7
2025-03-01,17,16158,0.11%,48.6
2025-03-02,20,15773,0.13%,48.6
2025-03-03,61,14027,0.43%,48.2
2025-03-04,52,15955,0.33%,47.4
2025-03-05,44,13487,0.33%,46.1
2025-03-06,39,13797,0.28%,44.7
2025-03-07,38,13783,0.28%,45.4
2025-03-08,28,15009,0.19%,46.6
2025-03-09,26,13163,0.2%,47.2
2025-03-10,49,17423,0.28%,46.3
2025-03-11,33,15306,0.22%,46.3
2025-03-12,41,13489,0.3%,47
2025-03-13,34,14709,0.23%,47.5
2025-03-14,41,13175,0.31%,48.4
2025-03-15,27,14212,0.19%,49
2025-03-16,20,13698,0.15%,49.3
2025-03-17,30,14437,0.21%,46.9
2025-03-18,53,14056,0.38%,46.1
2025-03-19,46,14215,0.32%,46.8
2025-03-20,31,16339,0.19%,49.1
2025-03-21,29,12544,0.23%,48.7
2025-03-22,27,14256,0.19%,50.4
2025-03-23,20,13295,0.15%,50.5
2025-03-24,51,31182,0.16%,54.4
2025-03-25,41,15814,0.26%,50.5
2025-03-26,33,11305,0.29%,47.7
2025-03-27,31,11231,0.28%,48.3
2025-03-28,34,11424,0.3%,49.2
2025-03-29,21,21121,0.1%,51.9
2025-03-30,12,22050,0.05%,52
2025-03-31,34,17522,0.19%,51.3
