Country,Clicks,Impressions,CTR,Position
United States,5835,5184727,0.11%,34.92
Indonesia,5197,866917,0.6%,8.6
India,1242,194090,0.64%,39.75
United Kingdom,926,444333,0.21%,48
Australia,637,86461,0.74%,45.74
Canada,556,111457,0.5%,42.45
Pakistan,556,25519,2.18%,37.89
Philippines,280,31678,0.88%,38.47
Cambodia,276,20644,1.34%,18.48
Bangladesh,227,22742,1%,43.65
Germany,185,71621,0.26%,45.93
South Africa,140,25439,0.55%,43.1
Spain,139,57141,0.24%,45.73
Netherlands,124,36867,0.34%,52.4
Egypt,124,14509,0.85%,42.31
Vietnam,117,52434,0.22%,45.89
United Arab Emirates,97,11924,0.81%,44.13
Thailand,94,26968,0.35%,35.96
New Zealand,91,13354,0.68%,43.99
France,87,62120,0.14%,43.8
Nigeria,87,4939,1.76%,27.96
Mexico,86,44615,0.19%,45.14
Morocco,77,12160,0.63%,45.72
Italy,74,65207,0.11%,44.29
Singapore,66,14482,0.46%,38.37
Poland,65,21005,0.31%,46.64
Romania,65,8128,0.8%,38.64
Brazil,61,374121,0.02%,50.25
Macedonia,60,1249,4.8%,35.7
Ireland,59,19230,0.31%,47.2
Portugal,56,10852,0.52%,41.04
Sweden,53,10090,0.53%,45.56
Turkey,50,34410,0.15%,46.82
Serbia,50,3833,1.3%,40.14
Colombia,48,19561,0.25%,43.67
Malaysia,41,23170,0.18%,43.08
Venezuela,39,14866,0.26%,44.73
Nepal,38,6534,0.58%,46.19
Kenya,36,5475,0.66%,44.17
Saudi Arabia,35,19189,0.18%,46.22
Georgia,35,2788,1.26%,45.23
Switzerland,34,8715,0.39%,43.52
Austria,33,8436,0.39%,42.18
Greece,33,5786,0.57%,44.9
Argentina,30,33267,0.09%,46.89
Bulgaria,30,5717,0.52%,41.05
Belgium,29,10598,0.27%,48.76
Ukraine,28,39979,0.07%,44.28
Hungary,28,7115,0.39%,47.15
Israel,28,6304,0.44%,45.38
Hong Kong,28,2529,1.11%,31.95
Denmark,23,10774,0.21%,46.91
Norway,23,6960,0.33%,44.47
Japan,21,30278,0.07%,42.77
Czechia,21,10103,0.21%,41.22
Iran,21,3554,0.59%,41.36
Panama,21,2035,1.03%,44.95
Ghana,20,1377,1.45%,39
South Korea,18,39622,0.05%,45.52
Taiwan,18,13194,0.14%,46.41
Finland,17,6045,0.28%,46.34
Puerto Rico,17,1982,0.86%,42.72
Lithuania,16,12148,0.13%,44.4
China,16,2208,0.72%,23.8
Unknown Region,15,5612,0.27%,49.54
Russia,14,126213,0.01%,47.75
Tunisia,14,5371,0.26%,47.15
Lebanon,13,1571,0.83%,43.45
Bosnia & Herzegovina,12,2610,0.46%,49.73
Croatia,12,1955,0.61%,36.24
Kosovo,12,393,3.05%,34.9
Algeria,11,8201,0.13%,45.55
Sri Lanka,11,1912,0.58%,38.64
Qatar,11,1609,0.68%,42.03
Nicaragua,11,859,1.28%,43.53
Slovakia,10,1668,0.6%,41.73
Slovenia,10,1222,0.82%,37.44
Uzbekistan,9,7882,0.11%,50.06
Latvia,9,5524,0.16%,45.66
Ethiopia,9,2444,0.37%,42.18
Ecuador,8,14530,0.06%,48.46
Peru,8,8181,0.1%,44.13
Dominican Republic,8,5366,0.15%,46.76
Albania,8,2935,0.27%,41.59
Cyprus,8,2414,0.33%,43.72
Armenia,8,1476,0.54%,44.75
Uganda,8,826,0.97%,35.69
Azerbaijan,7,3056,0.23%,47.71
