Top pages,Clicks,Impressions,CTR,Position
https://theblueprint.training/,7219,151446,4.77%,20.04
https://theblueprint.training/get-started/,4848,866877,0.56%,7.56
https://theblueprint.training/about/,745,74509,1%,8.06
https://theblueprint.training/local-seo-training/,496,115694,0.43%,38.45
https://modules.theblueprint.training/login,436,34505,1.26%,9.05
https://theblueprint.training/seo-sprints-training/,403,138912,0.29%,16.62
https://theblueprint.training/seo-report/,347,1895129,0.02%,45.68
https://theblueprint.training/templates-and-sops/,315,44671,0.71%,17.6
https://theblueprint.training/blueprint-affiliate-program/,257,15145,1.7%,13.23
https://theblueprint.training/agency-sales-training/,248,69456,0.36%,36.61
https://theblueprint.training/niches-for-your-agency/,207,98442,0.21%,14.91
https://theblueprint.training/local-seo/,199,313868,0.06%,34.97
https://theblueprint.training/seo-proposal/,198,182474,0.11%,28.27
https://theblueprint.training/terms-and-conditions/,158,5976,2.64%,8.65
https://theblueprint.training/tools/website-quality-audit/,139,38644,0.36%,62.47
https://theblueprint.training/book/,137,39924,0.34%,8.33
https://theblueprint.training/slack-channel/,134,42023,0.32%,18.75
https://theblueprint.training/seo-content-training/,133,88403,0.15%,32.11
https://theblueprint.training/link-building-strategy/,120,65434,0.18%,36.47
https://theblueprint.training/seo-deliverables/,120,48776,0.25%,32.3
https://theblueprint.training/client-questionnaire-template/,109,128504,0.08%,43.6
https://theblueprint.training/sign-up/,103,31954,0.32%,6.25
https://theblueprint.training/seo-proposal-template/,94,85974,0.11%,27.09
https://theblueprint.training/community-rankings/,86,11173,0.77%,13.27
https://theblueprint.training/freebies-fb/,79,2950,2.68%,11.06
https://theblueprint.training/make-money-seo/,78,73878,0.11%,27.77
https://theblueprint.training/blog/,78,10907,0.72%,19.86
https://theblueprint.training/bootcamps/,76,18144,0.42%,9.4
https://theblueprint.training/project-management-seo/,70,105241,0.07%,34.95
https://theblueprint.training/ai-seo-process/,65,23020,0.28%,50.93
https://theblueprint.training/agency-website-template/,63,17087,0.37%,28.69
https://theblueprint.training/how-to-productize-services/,60,15584,0.39%,22.27
https://theblueprint.training/wp-content/uploads/2019/02/The-Blueprint-__-Monthly-SEO-Report-TEMPLATE-›-ALL-Live-Links-and-Content-Live-Data.pdf,56,64545,0.09%,59.52
https://theblueprint.training/linkedin-training/,52,6058,0.86%,19.78
https://theblueprint.training/link-building-for-dentists/,50,12967,0.39%,25.17
https://theblueprint.training/coaching/,50,7376,0.68%,17.38
https://theblueprint.training/content-marketing-for-agencies/,49,35771,0.14%,42.6
https://theblueprint.training/reviews/,48,3569,1.34%,14.59
https://modules.theblueprint.training/courses/module-2-6-internal-linking-optimization/172027-default-section/581035-2-6-1-introduction-to-kevin-indig-s-tipr-model,48,1772,2.71%,39.7
https://theblueprint.training/keyword-research/,47,107846,0.04%,48.25
https://theblueprint.training/seo-templates-every-agency-needs/,46,85197,0.05%,57.39
https://theblueprint.training/carrie-rose-rise-at-seven/,45,24305,0.19%,15.22
https://theblueprint.training/agency-pricing-models/,43,109411,0.04%,31.37
https://theblueprint.training/webris/,43,9519,0.45%,16.54
https://bootcamps.theblueprint.training/,43,2277,1.89%,15.86
https://theblueprint.training/build-authority-links-for-clients/,41,59248,0.07%,58.16
https://modules.theblueprint.training/courses/sheets-add-on-setup,39,498,7.83%,10.33
https://theblueprint.training/joy-hawkins/,38,13006,0.29%,11.86
https://theblueprint.training/seo-agency-project-management/,37,30107,0.12%,37.99
https://theblueprint.training/seo-process/,37,22016,0.17%,13.33
https://theblueprint.training/seo-competitive-analysis/,36,659181,0.01%,53.09
https://theblueprint.training/bigger-agency-clients/,36,22459,0.16%,41.59
https://theblueprint.training/agency-positioning/,35,50198,0.07%,37.98
https://theblueprint.training/trainings/client-onboarding/,35,15806,0.22%,50.3
https://theblueprint.training/white-label-ppc/,32,72660,0.04%,62.46
https://theblueprint.training/agency-podcast/,32,2539,1.26%,18.76
https://theblueprint.training/nobs-links/,29,14354,0.2%,20.67
https://theblueprint.training/generate-leads-meta-ads/,28,11315,0.25%,11.93
https://modules.theblueprint.training/the-blueprint-training-full-6mo-plan,25,2890,0.87%,15.42
https://theblueprint.training/kyle-roof/,24,2593,0.93%,19.45
https://theblueprint.training/trainings_cat/free/,23,507,4.54%,10.12
https://theblueprint.training/seo-roi/,22,34018,0.06%,32.09
https://theblueprint.training/darren-shaw-local-seo/,22,2792,0.79%,18.71
https://theblueprint.training/tools/benchmark-analysis-report/,18,135487,0.01%,40.74
https://theblueprint.training/content-brief-template/,18,58888,0.03%,53.88
https://theblueprint.training/agency-training/,18,37132,0.05%,14.48
https://theblueprint.training/tools/seo-campaign-report/,18,4366,0.41%,26.1
https://theblueprint.training/mark-luckenbaugh/,18,1814,0.99%,34.73
https://theblueprint.training/agency-tax-planning/,17,8607,0.2%,25.41
https://modules.theblueprint.training/courses/masterclass/725744-offer-creation,15,493,3.04%,12.39
https://modules.theblueprint.training/module-2-2-technical-seo-audits/yaqxu,14,35586,0.04%,39.13
https://modules.theblueprint.training/seo-project-management/cxmjk,14,520,2.69%,7.01
https://modules.theblueprint.training/,13,1355,0.96%,45.52
https://theblueprint.training/web-design-agency-seo/,13,1324,0.98%,36.44
https://theblueprint.training/tools/internal-link-analysis/,12,140123,0.01%,50.49
https://theblueprint.training/best-seo-tool-stack/,12,62352,0.02%,57.58
https://theblueprint.training/event/,12,1062,1.13%,9.48
https://theblueprint.training/moz-vs-semrush-vs-ahrefs/,11,2079594,0%,29.77
https://theblueprint.training/wp-content/uploads/2019/02/Blueprint-TEMPLATE-__-SEO-Kickoff-Data-Analysis-›-List-of-Queries.pdf,11,2933,0.38%,37.73
https://modules.theblueprint.training/module-2-6-internal-linking-optimization/cxmjk,11,1320,0.83%,54.61
https://theblueprint.training/agency-growth-framework-jason-swenk/,11,522,2.11%,16.86
http://theblueprint.training/,11,287,3.83%,46.84
https://theblueprint.training/book-goodies/,10,738,1.36%,8.07
https://theblueprint.training/seo-tinder/,10,663,1.51%,26.87
https://modules.theblueprint.training/courses/seo-reporting/44086-monthly-seo-report,9,76906,0.01%,68.34
https://theblueprint.training/outsource-seo/,9,12408,0.07%,62.43
https://theblueprint.training/why-productize-agency/,9,8531,0.11%,19.27
https://modules.theblueprint.training/courses/module-2-1-website-quality-audit,9,157,5.73%,16.47
https://theblueprint.training/tools/google-analytics-audit/,8,34180,0.02%,53.55
https://theblueprint.training/link-building-pricing/,8,25849,0.03%,42.31
https://theblueprint.training/seo-agency-lead-generation/,8,19790,0.04%,62.72
https://theblueprint.training/agency-offer-creation/,8,991,0.81%,18.86
https://theblueprint.training/technical-seo-bootcamp/,7,9797,0.07%,29.29
https://theblueprint.training/keyword-intent/,7,8905,0.08%,59.58
https://theblueprint.training/link-building-case-study/,7,8087,0.09%,49.92
https://theblueprint.training/paid-traffic-workshop/,7,2165,0.32%,36.84
https://theblueprint.training/trainings/target-pages/,7,759,0.92%,34.7
https://theblueprint.training/category/templates/,7,87,8.05%,17.07
https://theblueprint.training/chris-dreyer/,6,10393,0.06%,30.32
https://modules.theblueprint.training/module-3-1-content-audit,6,2671,0.22%,57.45
https://theblueprint.training/category/bootcamps/,6,234,2.56%,11.3
https://theblueprint.training/wp-content/uploads/2019/03/Blueprint_-_TEMPLATE____Traffic_Projection_Tool.pdf,6,228,2.63%,62.94
https://modules.theblueprint.training/courses/sheets-add-on-setup/407414-adding-clients-tasks/1006203-adding-a-client,6,166,3.61%,11.52
https://theblueprint.training/charge-more-services/,5,5867,0.09%,14.29
https://modules.theblueprint.training/courses/sheets-add-on-setup/354510-copying-running-templates/1011028-bonus-the-traffic-projection-tool,5,3463,0.14%,53.52
https://modules.theblueprint.training/2-0-seo-strategy,5,3269,0.15%,35.95
https://theblueprint.training/marketing-your-agency-ruan-marinho/,5,1021,0.49%,16.32
https://modules.theblueprint.training/courses/module-3-2-kw-research-gap-analysis-new-pages,5,260,1.92%,23.23
https://modules.theblueprint.training/template-seo-proposals,4,23925,0.02%,65.43
https://theblueprint.training/get-featured-podcasts/,4,4492,0.09%,40.93
https://modules.theblueprint.training/courses/module-3-2-kw-research-gap-analysis-new-pages/47612-default-section/157842-3-2-intro-to-kw-gap-analysis,4,3664,0.11%,72.54
https://modules.theblueprint.training/acquisition-outbound,4,1171,0.34%,20.17
https://theblueprint.training/julia-mccoy/,4,895,0.45%,41.53
https://theblueprint.training/joel-klettke/,4,858,0.47%,14.91
https://theblueprint.training/ahrefs-search-engine-yep/,3,58763,0.01%,48.4
https://theblueprint.training/brian-dean-consulting/,3,4982,0.06%,55.54
https://theblueprint.training/joey-gilkey-agency-sales/,3,4598,0.07%,10.98
https://modules.theblueprint.training/view/courses/87ce8a9d-f15d-4e37-8afe-33699b45a82b,3,2605,0.12%,45.13
https://modules.theblueprint.training/courses/onboarding/38992-1-1-onboarding/131424-tools-templates-sops-and-links,3,2462,0.12%,56.09
https://theblueprint.training/sell-agency/,3,829,0.36%,41.51
https://theblueprint.training/garrett-mehrguth/,3,461,0.65%,19.34
https://theblueprint.training/agency-strategy/,3,338,0.89%,10.39
https://theblueprint.training/david-martin/,3,316,0.95%,28.45
https://theblueprint.training/tools/agency-pulse-report/,3,262,1.15%,16.32
https://theblueprint.training/jj-russell/,3,194,1.55%,18.64
https://modules.theblueprint.training/view/courses/agency-sales-attracting-closing-clients/155697-1-4-cold-outreach,3,188,1.6%,22.23
https://modules.theblueprint.training/courses/sheets-add-on-setup/354510-copying-running-templates/1006207-two-types-of-sheets-templates-basic-and-automated,3,42,7.14%,24.36
https://modules.theblueprint.training/courses/sheets-add-on-setup/353578-default-section/1042057-read-this-first,3,27,11.11%,33.67
https://theblueprint.training/webinar-email-sequences/,2,5255,0.04%,41.6
https://modules.theblueprint.training/white-hat-link-building,2,1751,0.11%,51.03
https://theblueprint.training/john-saunders/,2,984,0.2%,11.35
https://theblueprint.training/high-ticket-sales/,2,968,0.21%,21.12
https://theblueprint.training/olga-andrienko/,2,558,0.36%,31.71
https://theblueprint.training/why-is-my-website-losing-organic-traffic/,2,554,0.36%,22.22
https://theblueprint.training/adam-steele/,2,504,0.4%,29.68
https://theblueprint.training/agency-quiz/,2,333,0.6%,15.96
https://theblueprint.training/extend-agency-contracts/,2,201,1%,17.93
https://modules.theblueprint.training/view/courses/kickoff-data-analysis,2,169,1.18%,11.05
https://theblueprint.training/public-relations-strategies-george-bradley/,2,145,1.38%,22.71
https://modules.theblueprint.training/courses/competitive-analysis/41281-default-section/129485-competitive-analysis-overview,2,135,1.48%,58.74
https://modules.theblueprint.training/courses/seo-project-management/360871-setting-up-the-legacy-pm-trackers,2,63,3.17%,11.03
https://go.theblueprint.training/link-strategy,2,26,7.69%,10.69
https://modules.theblueprint.training/agency-sales-attracting-closing-clients,2,21,9.52%,29.81
https://theblueprint.training/results/,1,12083,0.01%,3.84
https://modules.theblueprint.training/courses/module-2-2-technical-seo-audits/41282-default-section/119490-enterprise-seo-audit-walkthrough,1,11218,0.01%,60.67
https://theblueprint.training/aleric-heck-youtube/,1,808,0.12%,41.87
https://theblueprint.training/why-seo/,1,652,0.15%,41.42
https://theblueprint.training/agency-growth/,1,594,0.17%,30.39
https://modules.theblueprint.training/c52ee621-62d2-40e1-9ac0-d246b91eed6a,1,350,0.29%,55.42
https://theblueprint.training/category/podcast/,1,206,0.49%,25.6
https://modules.theblueprint.training/courses/masterclass/725717-positioning,1,205,0.49%,47.67
https://theblueprint.training/agency-profitability-management-marcel-petitpas/,1,195,0.51%,10.82
https://theblueprint.training/marketing-your-agency/,1,190,0.53%,21.22
https://modules.theblueprint.training/courses/module-5-2-local-seo-reporting,1,178,0.56%,56.28
https://modules.theblueprint.training/view/courses/c52ee621-62d2-40e1-9ac0-d246b91eed6a/1197336-the-client-kickoff-call,1,167,0.6%,65.58
https://modules.theblueprint.training/agency-management-staffing-resourcing,1,154,0.65%,15.1
https://theblueprint.training/category/agency/,1,130,0.77%,10.82
https://modules.theblueprint.training/courses/masterclass/725717-positioning/2114226-4-positioning-strategies,1,86,1.16%,48.62
https://modules.theblueprint.training/view/courses/masterclass,1,64,1.56%,38.91
https://theblueprint.training/privacy-policy/,1,42,2.38%,18.76
https://modules.theblueprint.training/view/courses/module-3-1-content-audit/47611-default-section/154411-3-1-4-content-audit-over-shoulder,1,42,2.38%,34.17
https://modules.theblueprint.training/courses/module-5-2-local-seo-reporting/233524-bonus-content/604716-bonus-data-studio-deep-dive,1,38,2.63%,45.66
https://modules.theblueprint.training/c189846f-e76c-474c-a4a2-8fdea48de640,1,37,2.7%,52.43
https://modules.theblueprint.training/2-0-agency-toolbelt,1,30,3.33%,53.53
http://go.theblueprint.training/link-strategy,1,16,6.25%,1
https://go.theblueprint.training/link-strategy-1,1,14,7.14%,1.57
https://modules.theblueprint.training/view/courses/sheets-add-on-setup/354510-copying-running-templates/1008935-module-2-1-website-quality-audit,1,14,7.14%,18.29
https://modules.theblueprint.training/courses/module-5-2-local-seo-reporting/172066-local-seo-monthly-report/507496-5-2-2-overview-of-the-sheets-database,1,13,7.69%,42.62
https://bootcamps.theblueprint.training/metaads,1,3,33.33%,2
https://modules.theblueprint.training/view/courses/agency-sales-attracting-closing-clients,1,3,33.33%,94
https://modules.theblueprint.training/courses/agency-sales-attracting-closing-clients/155697-1-6-generating-leads-cold-outreach/674203-bonus-the-brand-deck,1,1,100%,2
https://ai.theblueprint.training/presale.html,1,1,100%,7
https://theblueprint.training/seo-report/#2_Organic_traffic_summary_report,0,37098,0%,9.01
https://theblueprint.training/seo-report/#7_Organic_revenue_report,0,36618,0%,8.99
https://theblueprint.training/seo-report/#Access_The_FREE_SEO_Reporting_Template,0,30368,0%,9.06
https://theblueprint.training/seo-report/#1_Summary_page,0,19937,0%,9.05
https://theblueprint.training/seo-report/#4_Organic_landing_pages,0,17869,0%,9.23
https://theblueprint.training/seo-report/#6_eCommerce_conversion_and_revenue_analysis,0,17375,0%,9.16
https://theblueprint.training/seo-report/#3_Organic_traffic_breakdown,0,15293,0%,9.01
https://theblueprint.training/moz-vs-semrush-vs-ahrefs/#Why_only_Ahrefs_Moz_or_SEMrush_for_the_comparison,0,14009,0%,6.98
https://theblueprint.training/moz-vs-semrush-vs-ahrefs/#Moz_Review,0,13761,0%,6.99
